Date,Close,Market
1994-07-07,3688.419922,djia
1994-07-08,3709.139893,djia
1994-07-11,3702.98999,djia
1994-07-12,3702.6599119999996,djia
1994-07-13,3704.280029,djia
1994-07-14,3739.25,djia
1994-07-15,3753.8100590000004,djia
1994-07-18,3755.429932,djia
1994-07-19,3748.3100590000004,djia
1994-07-20,3727.2700200000004,djia
1994-07-21,3732.4499509999996,djia
1994-07-22,3735.040039,djia
1994-07-25,3741.8400880000004,djia
1994-07-26,3735.679932,djia
1994-07-27,3720.469971,djia
1994-07-28,3730.830078,djia
1994-07-29,3764.5,djia
1994-08-01,3798.169922,djia
1994-08-02,3796.219971,djia
1994-08-03,3792.6599119999996,djia
1994-08-04,3765.790039,djia
1994-08-05,3747.0200200000004,djia
1994-08-08,3753.8100590000004,djia
1994-08-09,3755.76001,djia
1994-08-10,3766.76001,djia
1994-08-11,3750.899902,djia
1994-08-12,3768.709961,djia
1994-08-15,3760.290039,djia
1994-08-16,3784.570068,djia
1994-08-17,3776.4799799999996,djia
1994-08-18,3755.429932,djia
1994-08-19,3755.110107,djia
1994-08-22,3751.219971,djia
1994-08-23,3775.830078,djia
1994-08-24,3846.7299799999996,djia
1994-08-25,3829.889893,djia
1994-08-26,3881.0500490000004,djia
1994-08-29,3898.850098,djia
1994-08-30,3917.3000490000004,djia
1994-08-31,3913.419922,djia
1994-09-01,3901.4399409999996,djia
1994-09-02,3885.580078,djia
1994-09-06,3898.6999509999996,djia
1994-09-07,3886.25,djia
1994-09-08,3908.459961,djia
1994-09-09,3874.8100590000004,djia
1994-09-12,3860.3400880000004,djia
1994-09-13,3879.860107,djia
1994-09-14,3895.330078,djia
1994-09-15,3953.8798829999996,djia
1994-09-16,3933.350098,djia
1994-09-19,3936.719971,djia
1994-09-20,3869.0900880000004,djia
1994-09-21,3851.600098,djia
1994-09-22,3837.1298829999996,djia
1994-09-23,3831.75,djia
1994-09-26,3849.23999,djia
1994-09-27,3863.040039,djia
1994-09-28,3878.179932,djia
1994-09-29,3854.6298829999996,djia
1994-09-30,3843.1899409999996,djia
1994-10-03,3846.889893,djia
1994-10-04,3801.1298829999996,djia
1994-10-05,3787.3400880000004,djia
1994-10-06,3775.5600590000004,djia
1994-10-07,3797.429932,djia
1994-10-10,3821.320068,djia
1994-10-11,3876.830078,djia
1994-10-12,3875.149902,djia
1994-10-13,3889.9499509999996,djia
1994-10-14,3910.469971,djia
1994-10-17,3923.929932,djia
1994-10-18,3917.540039,djia
1994-10-19,3936.040039,djia
1994-10-20,3911.149902,djia
1994-10-21,3891.3000490000004,djia
1994-10-24,3855.3000490000004,djia
1994-10-25,3850.5900880000004,djia
1994-10-26,3848.2299799999996,djia
1994-10-27,3875.149902,djia
1994-10-28,3930.6599119999996,djia
1994-10-31,3908.1201170000004,djia
1994-11-01,3863.3701170000004,djia
1994-11-02,3837.1298829999996,djia
